,KCCAns,QueryText
193,FERTILIZER DOSE FOR COTTON : SPRAY 12 61 00 60 GRAM IN 15 LITER OF WATER,ASKED ABOUT FERTILIZER DOSE FOR COTTON ?
194,Spray Admire 5 gm/15 Liter of Water (Imida 70 WP)-Bayer,ATTACK OF APHIDS on brinjal ?
195,SPRAY HUMIC ACID AND 00 52 34 GROWTH OF ONION,GROWTH ONION ?
196,fertilizer spray on onion-you can spray 13:40:13-50 gm / 15 liter of water,asked about fertilizer spray on onion
197,DRENCHING OF HAMALA 550 40 ML/15 LITERS OF WATER,ASKING ABOUT SPRAYING ON ONOION ?
198,Increasing size on onion-Apply of 00:00:50 3kg/acre through drip.,Asked about Increasing size on onion?
199,Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India,ASKED ABOUT ATTACK OF CATERPILLAR ON CUCUMBER AND COW PEA?
200,SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH on pigeon pea?
201,Attack of Fruit Borer ON BEANS - Spray Chloropyriphos 30 ml/15 Lit of Water.,ASKING ABOUT Attack of Fruit Borer ON BEANS ?
202,rahuri Market Rate of onion-  400-1700 rupees/qtl,Asking About Market Rate of onion ?
203,MARKET RATE OF onion700-1500- RS/QTL,FARMER ASKED ABOUT MARKET RATE OF onion?
204,"SPRAY 2,4-d-40 ml/15 liter of water AFTER PLANTING on one month",WEED MANAGEMENT IN Sorgam ?
205,120 kg urea+320 kg ssp+80 mop/acr,FERTILIZER DOSE FOR onino ?
206,FERTILIZER SPRAY ON astor -SPRAY 19 19 19-60 GM + MICROLLA  30 ML /15 LITERS OF WATER.,FERTILIZER SPRAY ON astor ?
207,DRENCHING in astor for wilt-DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER.,DRENCHING in astor for wilt?
208,VARIETIES OF CUCUMBER -HIMANGI PHULE SHUBHANGI POONA KHIRA SHEETAL PRIYA JK- MANALI,VARIETIES OF CUCUMBER ?
209,SPRAY POTASSIUM NITRATE 13 00 45 100 GM +BAVISTIN 30 GM/15 LITERS OF WATER,FERTILIZER SPRAY ?
210,"Spray Confidor 10 ml /Super Confidor 10 ml /15 litar water (Imidacloprid 17.8 %)

SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER",asked about sucking pest attack on onion ?
211,MARKET RATE OF  SOYBEAN 2800-3250 RS/QUINTAL,ASKING ABOUT MARKET  RATE OF SOYBEAN ?
212,SPRAY 00 52 34 60 GM /15 Lit of Water.,ASKED ABOUT FERTILIZER SPRAY ON ONION ?
213,Spray Azadirictine 30 ml/15 Lit of Water.,ATTACK OF LEAF MINER ? ??? ??? ????????
214,apply 200 gram uriya +  singal super phosphate 400 gram /plant,asked about fertilizer dose for mango.
215,fruit drop in coconut = calcium nitrate 40 gm + boron 40 gm / plant,fruit drop in coconut ?
216,SPRAY 12 61 00 60 GM + MICROLLA 30 ML /15 LITERS OF WATER,FERTILIZER SPRAY  ?
217,MARKET RATE OF MAIZE = 1100-1336 RS/QTL,MARKET RATE OF MAIZE ?
218,"KOLHAPUR	----	QUINTAL	359	200	1200	700

PUNE-MANJRI	----	QUINTAL	212	500	1000	700

AURANGABAD	----	QUINTAL	169	300	800	550

SANGAMNER	----	QUINTAL	1500	300	900	600",market information tomato ?
219,VARIETIES OF CHILLI -PUSA JWALA SANKESHWARI-32 TEJSWINI SITARA PHULE JYOTI PANT C AGNIREKHA,VARIETIES OF CHILLI ?
220,SPRAY 19 19 19 60 GM + MICROLLA 30 ML /15 LITERS OF WATER,ASKING ABOUT SPRAYING ON FENUGRIC?
221,Market rate of cotton-5500-5825 Rs/qtl.,Asked about Market rate of cotton?
222,MARKET RATE of soyabean-2000-3225 RS/QTL,FARMER ASKED ABOUT MARKET RATE of soyabean?
223,Drenching of Chloropyriphos 40 ml / 15 lit of water.,Attack of White Grub  ON SUGARCANE ?
224,Market Rate of Onion 500-2700 rupees/qtl.,Asking About Market Rate of Onion ?
225,"THIS WEEK WEATHER IS CLOUDY LIGHT RAINFALL  CHANCES,",ASKING ABOUT WEATHER FORECAST ?
226,MARKET RATE OF ONION  -700 2500  RS/QTL,FARMER ASKED ABOUT MARKET RATE OF ONION  ?
227,Spray Tilt 250 EC/15 Lit of Water. (Propiconazole 250 EC) SYNGENTA,FUNGAL ATTACK on onion ?
228,"nutrient for brinjal - drenching 12 61 00 ,100 gm / 15 liter water",asked about nutrient for brinjal ?
229,Spray Ullala 8 gm/15 Lit of Water.UPL,Attack of White Fly on brinjaL ?
230,VARIETIES OF WHEAT - NIDW -15 (PANCHVATI) NIAW-301 (TRYAMBAK ) NIAW-1415 (NETRAVATI) NIAW-917(TAPOWAN ) AJEET-202 AJEET-349,ASKING ABOUT VARIETIES OF WHEAT ?
231,"FERTILIZER DOSE FOR ONION-19:19:19-60 gram + microla-30 mili / 15 liter of water.

Spray Actra 5 gm + Bavistin-30 gram /15 Liter of Water(Thiomithoxom 25%)-Syngenta","ASKED ABOUT FERTILIZER DOSE FOR ONION ?

ASKED ABOUT ATTACK OF APHIDS ON ONION ?"
232,MARKET RATE of cotton-8000-8100 RS/QTL,FARMER ASKED ABOUT MARKET RATE of cotton?
233,"VARIETIES OF WHEAT -NA-N59, MACS1967, NI4539, AKDW2997-16 (Sharad)",FARMER ASKED ABOUT VARIETIES OF WHEAT ?
234,SEEDS ARE TREATED WITH 250 GM PSB + 250 GM PSB +150 GM JAGERRY +1 LITRE WATER/ 10 KG OF SEEDS,SEED TREATMENT TO WHEAT ?
235,"variety of wheat : sharad , panchavati",asking about variety of wheat ?
236,00:52:34-60 gram + microla-30 mili / 15 liter water,ASKED ABOUT FERTILIZER DOSE FOR GROWTH ?
237,ATTACK WHITE GRUB ON MAIZE: Humnasur 6 kg/acre(Patil Biotech),ASKED ABOUT ATTACK WHITE GRUB ON MAIZE?
238,ATTACK OF THRIPS ON ONION : Lancer Gold 51.8 SP 30 GM /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL,ASKED ABOUT ATTACK OF THRIPS ON ONION ?
239,ATTACK OF APHIDS on onion SPRAY- PRIDE 7 GM + Bavistine 30gm / 15 LITERS OF WATER (Acetamiprid 20 %),asking about ATTACK OF APHIDS on onion  ?
240,MARKET RATE of onion-900-2300 RS/QTL,FARMER ASKED ABOUT MARKET RATE of onion?
241,SPRAY SAAF 30 GM / 15 LITERS OF WATER (Carbendazim 12% + Mancozeb 63% WP ) UPL,ASKING ABOUT CONTROL OF FUNGAL ATTACK ?
242,Spray Actra 5 Gm+ REDOMIL  GOLD 30 GRAM /15 Liter Of Water(Thiomithoxom 25%)-Syngenta,ASKED ABOUT Attack Of Thrips ON POMEGRANATE?
243,FERTILIZER SPRAYING ON ONION = SPRAY 00:52:34 60 GM / 15 LITER WATER,ASKED ABOUT FERTILIZER SPRAYING ON ONION ?
244,MARKET RATE of -RAHATA	---	300	2600	1450  RS/QTL,FARMER ASKED ABOUT MARKET RATE of onion ?
245,Drenching Bavistine 30 gm + Humic Acid 30 ml/15 Liter  of Water,Attack of Wilt?
246,DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML/15 LITER WATER,asking about DRENCHING on chillies ?
247,fungal attack on pomegranate: Spray Kavach  7 gm/15 Liter of Water(Chlorothalonil)-Syngenta,asked about fungal attack on pomegranate?
248,FERTILIZER SPRAY FOR GROWTH OF ONIONSPRAY 19:19:19-40 GM + MICROLLA 30 ML /15 LITERS OF WATER.,FERTILIZER SPRAY FOR GROWTH OF ONION?
249,ASKED ATTACK OF POD BORER ON PEGION PEA SPRAY PROCLAIM 8Gm/15LIT OF WATER(Emamectin Benzoate 5% SG).,FARMER ASKED ATTACK OF POD BORER ON PEGION PEA ?
250,attack of caterpillar on tur - Spray Proclaim 5 gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,asked about attack of caterpillar on tur ?
251,Drenching of Chloropyriphos 40 ml / 15 lit of water.,Asked about Attack of White Grub ?
252,Lancer Gold 51.8 SP 30 GM+m 45 30 gm /15 LITERS OF WATER -(Acephate 50 + Imidacloprid 1.8 SP) UPL,ASKING ABOUT ATTACK OF APHIDS ON ONION ?
253,CONTROL OF ATTACK OF POD BORER ON TUR  :- Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG),FRAMER ASKED ABOUT CONTROL OF ATTACK OF POD BORER ON TUR  ?
254,SPRAY ROGAR 15 ML + M-45 30 gm / 15 LITERS OF WATER,asked about attack of sucking pest.
255,apply 1 bag urea + 1 bag ssp + 1 bag mop + 10 kg magnesium suphate +   10 kg zinc sulphate +  10 kg feras sulphate + 5 kg boran + 25 kg Neem cake + humic acid 3  kg/acre,Fertiliser dose for sugarcane?
256,"Take 50 kg of nitrogen, 50 kg of phosphorus and 50 kg of potash on canada crop. After this, give 50kg of Nitrogen per hectare in 1 month",FERTILIZER ON ONION ?
257,Spray Plano fix 5ml/15 Lit of Water.(NAA) BAYER,FRUIT DROP COCONUT  ?
258,Fertilizer dose on onion-Apply of 19:19:19 3kg/acre through drip.,Asked about Fertilizer dose on onion?
259,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE,ASKING ABOUT SPRAY FOR FOR FLOWERING 	?
260,FERTILISER DOSE ON ONION - 19 19 19 60 GM  + MICROLLA 30 ML + BAVISTIN 30 GM/15 LITER WATER,ASKING ABOUT FERTILISER DOSE ON ONION ?
261,ATTACK OF SUCKING PEST on pomegranate - BIO 303 - 22 ML / 15 LITERS OF WATER DAMAN,asking about ATTACK OF SUCKING PEST on pomegranate ?
262,FERTILIZER SPRAY FOR GROWTH ON MAIZE - SPRAY 19 19 19 40 GM + MICROLLA 30 ML /15 LITERS OF WATER,FARMER ASKED ABOUT FERTILIZER SPRAY FOR GROWTH ON MAIZE   ?
263,SPRAY TERGA WHEAP SUPER/TARGA SUPER (Quizolofop ethyl 5% EC) 20 ML /10 LITERS OF WATER,WEED MANAGEMENT IN COTTON ?
264,VARIETIES OF CHILLI -PUSA JWALA SANKESHWARI-32 TEJSWINI SITARA PHULE JYOTI PANT C AGNIREKHA,FARMER ASKED ABOUT VARIETIES OF CHILLI ?
265,Spray of Bavistine 30gm/15lit of Water.,Asked about Attack of blight on guava?
266,Market Rate of onion 500-1924  rupees/qtl.,Asking About Market Rate onion ?
267,APPLICATION OF UREA 2 BAGS(IN 3 SPLIT DOSES 30 DAYS AND 60 DAYS)+ SSP- 125 KG + MOP -35 KG /ACRE,FERTILIZER DOSE FOR WHEAT ?
268,Onion Market Rate 100-2300 rupees/qtl.,Asking About Market Rate Onion ?
269,Fruit Borer in brinjal-Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,Attack of Fruit Borer in brinjal?
270,Humnasur 6 kg/acre(Patil Biotech),Attack of White Grub OF TUR ?
271,SPRAY POTASSIUM NITRATE 13 00 45 60 GM /15 LITERS OF WATER AND APPLICATION OF UREA 30 KG /ACR,ASKING ABOUT FERTILIZER SPRAY ON ONION ?
272,CONTROLL OF BLIGHT ATTACK on onion-Spray Blue copper -30 gm/15 lit water.(COPPER OXYCHLORIDE 50% WP)  SYNGENTA,ASKING ABOUT CONTROLL OF BLIGHT ATTACK on onion?
273,"VARIETIES OF BRINJAL -MANJARI GOTA VAISHALI PRAGATI ARUNA KRUSHNA ARJUN GAURAV , Nirmal 404 (Atul ),",FARMER ASKED VARIETIES OF BRINJAL ?
274,BLIGHT ATTACK ON ONION - Spray Actra 5 gm + m-45 30 gm /15 Liter of Water(Thiomithoxom 25%),FARMER ASKED ABOUT BLIGHT ATTACK ON ONION ?
275,Spray Profex super 30 ml/15 liter water.( Profenofos 40% + Cypermethrin4% )Nagarjuna,Attack of Fruit Borer ?
276,For preparation of jivamrut use 10 kg cow dung + 10 liter cow urine + 2 kg flour mill  + 2 kg jaggary + 200 liter water skake well morning and evening till 4 -6 days.,PREPARATION OF JIVAMRUT?
277,SPRAY GOAL 20 ML / 15 LITERS OF WATER 21 DAYS AFTER TRANSPLANTING,ASKED ABOUT WEED MANAGEMENT IN ONION ?
278,LEAF EATING CATERPILLAR on pigeonpea-Spray Takumi 5 GM /15 liter water (Flubendamide 20%WGD)-Tata Rallis India,ATTACK OF LEAF EATING CATERPILLAR on pigeonpea?
279,Spray Proclaim 5gm/15lit of Water. (Emamectin Benzoate 5% SG)-Syngenta,asked about attack of catterpiller on banana ?
280,MARKET RATE OF COTTON  -5700-6030 RS/QUINTAL,ASKED ABOUT MARKET RATE OF COTTON ?
281,Spray Chloropyriphos 30 ml/15 Lit of Water.,ASKED ABOUT ATTACK WHITE GRUB ON GUAVA?
282,"West Coast Toll (Banwali) - Every tree grown with an average yield of 80 to 100 fruits.

Lakshadweep Ordinary (Chandrakalpa) - A full grown tree yields an average of 150 fruits.

Pratap - The size of coconut is medium, round and the tree sprouts in six to seven years. 150 grams of coconut from this kind of tree.

Filipino Ordinary - Coconut is very big in size. Coconut has an average production of 105 coconut.

Crouch

Orange darf, green darf and yellow dahl are strained from color. Orange Dart is the best way to go for the caste.",COCONUT VARIETTY
283,Spray of bavistin 30gm + microlla 30ml/15 liter water.,Asked about Fertilizer spray?
284,VARIETIES OF CUSTARD APPLE -BALANAGAR ARKA SAHAN TP-7 DAULATABAD DHARUR-6 PHULE PURANDAR,VARIETIES OF CUSTARD APPLE ?
285,Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20 %)DEVI CROP SCIENCE,spray FOR FLOWERING in pigeon pea?
286,fertilizer dose for onion- you can apply 10 26 26 - 1 bag + 5 kg gandhak / acre,asked about fertilizer dose for onion ?
287,MARKET RATE OF ONION OF RAHURI-  200-1700 RS/QUINTAL,ASKING ABOUT MARKET  RATE OF  ONION ?
288,Sowing season of soyabean period June to july,SOWING SEASON OF SOYABEAN ?
289,SEEDS ARE TREATED WITH 2-2.5 GM THIRUM /1 KG OF SEEDS THEN RHIZOBIUM 25 GM+ PSB 25 GM + 100 GM JAGERY / 1 KG OF SEEDS,ASKED ABOUT SEED TREATMENT FOR BENGAL GRAM ?
290,Spray Regent 20 ml/15 liter water(Fipronil 5 SC)-.BAYER CROP SCIENCE,Attack of Thrips on onion ?
291,00:00:50 60 GM + MICROLA 30 ML /15 LITER WATER,GROWTH?
292,SPRAY 12 61 00 40 60 GM + MICROLLA  30 ML /15 LITERS OF WATER,asked about fertilizer dose of onion?
293,ATTACK OF WHITE FLY ON BRINJAL : Spray Ullala 8 gm/15 Lit of Water.UPL,ASKED ABOUT ATTACK OF WHITE FLY ON BRINJAL ?
294,CALL CAME FROM MAHARASHTRA,CALL CAME FROM MAHARASHTRA
295,"After harvesting of onion it is ready for harvesting from 3 to 4.5 months. The onion layer of yellow onion grows yellow in yellow and yellow onion. This is called breaking the neck. After degradation of 60 to 75 percent, consider that the onion extract has matured. The kadali breeders should loose the surrounding lands and take out the onions. After 4 to 5 days after harvest, onion powder should be kept in the farm in small dhagy form. Then cut the onion and mud. Cut off the stomach by placing a stalk of 3 to 4 cm in length. After that, onion should be dry in the shade 4 to 5 days",asked about water management
296,"5 percent nymphole 5 minutes for pest control Ltd Or economy plus 10 min. Ltd Equally mixed with water should be given thrice in a year during April to May, October to November, January to February. Do not remove the coconut for 45 days after giving the medicine, and also give 10 kg neem cake, zinc, boron, molybdenum and copper 200 gm per plant per year.",asked about fruit drop on coconut
297,SPRAY 00 52 34  60 GM /15 Lit of Water.,FERTILIZER SPRAY for omion?
298,Fertilizer spray of onion-Spray of 00:00:50 60gm /15 Liter of  Water.,Asked about Fertilizer spray of onion?
299,"MARKET RATE OF COTTON - 5500,	5500,	5500 RS/QTL",FARMER ASKED ABOUT MARKET RATE OF COTTON ?
300,"variety of wheat N 59,MACS 1967,NI4539,",asking about variety of wheat  ?
301,Spray solution of sulfur mixed with 2 kg of water in 500 liters of water should be done on the spacing of 15 days or Harmony 200 to 250 ml 100 liters per week. Spraying in the water.,ATTACK Papaya ring spot virus ?
302,SPRAY FOR GROWTH OF ONION  SPRAY 19 19 19 40 GM + MICROLLA 30 ML + HUMIC ACID 30 ML /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH OF ONION ?
303,Spray Actra 5 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,Attack of Thrips ?
304,Spray Actra 5 gm + m-45-40 gm/15 Liter of Water(Thiomithoxom 25%)-Syngenta,"Attack of Aphids,Thrips and Jassids ON onion ?"
305,Spray Plano fix 4 ml/15 Lit of Water FOR FRUIT DROP IN LEMON..(NAA),ASKING ABOUT SPRAY FOR CONTROLLING FRUIT DROP IN LEMON ?
306,"ATTACK OF THRIPS , APHIDS , JASSIDS on onion  - Spray super confidor 04 ml /15 liter of water(Imida 17.8 sl)-Bayer","ASKING ABOUT ATTACK OF THRIPS , APHIDS , JASSIDS on onion  ?"
307,MARKET RATE OF GARLIC -2000   RUPEES/QTL,ASKING ABOUT MARKET RATE OF GARLIC ?
308,mint-Rooted stem cuttings are planted in beds at 40 x 40 cm spacing during June - July.,asking about plantation of mint ?
309,Spray Oberon 15 ml / 15Lit of Water.(Spiromesifen) BAYER CROP SCIENCE,Attack Red Mites ?
310,ATTACK OF SUCKING PEST IN BITTER GOURD - Spray Actra 5 gm /15 liter of water.,ASKING ABOUT ATTACK OF SUCKING PEST IN BITTER GOURD?
311,market rate of onion-300-2000 rs/qtl,asking about market rate of onion ?
312,MARKET RATE OF cotton- 5500-5850  RS/QTL,FARMER ASKED ABOUT MARKET RATE OF cotton
313,"In LASALGAON market -

TODAY Market Rate of ONION -Minimum- 500 rupees/qtl and maximum - 2000 rupees/qtl",Asking About Market Rate of ONION in LASALGAON	market?
314,blight attack on papaya-tricoderma viride-25 gram/15 litre of water.,farmer asked about blight attack on papaya?
315,FERTILIZER DOSE FOR JAMUN = APPLICATION OF COWDUNK + 250 GM UREA + 250 GM SSP +HUMIC ACID 50 ML/PLANT,FERTILIZER DOSE FOR JAMUN ?
316,CALL FROM MAHARASHTRA,CALL FROM MAHARASHTRA
317,SPRAY 00 52 34 60 GM /15 Lit of Water.,FERTILIZER SPRAY ON TURMERIC ?
318,Spray Chloropyriphos 30 ml/15 Lit of Water.,ASKED ABOUT ATTACK OF CATERPILLER ON OKRA?
319,SPRAY 19 19 19 40 GM /15 LITERS OF WATER,FERTILIZER SPRAY FOR GROWTH GUINEA GRASS ?
320,Disconnected call,Disconnected call
321,VARIETIES OF CORIANDER  -SUGANDHA SUDHA NO-65 V-1 V-2 CO -1 D-92 D-94 WAI DHANA JALGAON DHANA,FARMER ASKING ABOUT VARIETIES OF CORIANDER ?
322,nutrient for onion - application of (10 26 26 + urea ) 2 bag / ekar,asked about nutrient for onion ?
323,"recommended for Ooty 1, Bonneville, Arkel and Azad are the popular varieties under cultivation.",farmer want to know information about Varieties of pea ?
324,"Mustard:

Navagold (yellow mustard)

Jawahar Mustards-2



Jawahar Mustard-3



Raj Vijay Mustards-2",farmewr want to know about information for mustard variety ?
325,recommended for   seed treatment of gram treat the seed with tricoderma viridi 5gm/kg of seed or thiram 3gm/kg of seed,farmer want to know information about seed treatment of gram?
326,janak hd 1981,farmers query about varieties of wheat.
327,"Seed Treatment - For Disease Control: 1. Treat the seeds per kg with a mixture of 2 gram thiram 1 gm carbendazim to protect crop from urine and root rot. Or

2. Treat beta wax with 2 grams / kg.",farmer want to know information about seed treatment of Gram ?
328,"recommended for Ooty 1, Bonneville, Arkel and Azad are the popular varieties under cultivation.",farmer want to know information about Varieties of pea crop?
329,"recommended for varieties of gram Bharti (I C C V 10), Jawahar 74 gram, 218 gram Precious Stone, Victory, Jawahar 322 gram,Jawahar gram 11 gram 130 Jawahar, Jawahar gram 16 gram 315 Jawahar, B G D 72, Zaki -9 218 101 are the popular varieties under cultivation",farmer want to know information about varieties of bengal gram gram?
330,recommended for to control sucking pest  Spray dimethoate 30 EC 500 ml/ha,farmer want to know information about how to control sucking pest in mustard crop?
331,"recommended for   varieties of irrigated wheat M.P. 1142, H.I. 1077, G.W. 273, G.W. 322, G. W. 190, Raj 1555, H.D. 4530, H.I. 8498, H.I 8381, J.W. 1106, Sudha are the popular varieties under cultivation",farmer want to know information about varieties of irrigated wheat?
332,According to metrology department of india there is no chance of rainfall for next week for dist,Farmer needs information regarding for dist. Of state madhya pradesh?
333,"recommended for Varieties of mustard JM-1 ,Swarn jyoti, basundhra,RGL-73,Pusa bold are the popular varieties under cultivation.",farmer want to know information about Varieties of mustard?
334,recommended for   seed treatment of gram treat the seed with tricoderma viridi 5gm/kg of seed or thiram 3gm/kg of seed,farmer want to know information about seed treatment of bengal gram crop?
335,"Recommended for varieties of nonirrigated wheat j.. W..'s. - 17, sujata h. W. 2004 hi 1500 mp 3020, c-306,hd-4672, hi 8627 are the popular varieties under cultivation",Farmer wants to know information about varieties of nonirrigated wheat?
336,propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump,Farmer need information regarding control measures of blast disease in paddy crop?
337,"recommended for varieties of gram Bharti (I C C V 10), Jawahar 74 gram, 218 gram Precious Stone, Victory, Jawahar 322 gram,Jawahar gram 11 gram 130 Jawahar, Jawahar gram 16 gram 315 Jawahar, B G D 72, Zaki -9 218 101 are the popular varieties under cultivation",farmer want to know information about varieties of gram?
338,"Kisan Bhai You are sowing the mustard of the mustard irrigated area

   October 10 to October 30 Bidar 4.5-5 kg each ha",farmer want to know sowing time in musard ?
339,"Weather forecast for thursday, friday, saturday, sunday and monday would be partly cloudy weather but there is no chances of rainfall.",Query about weather information for irrigation
340,Pendimethalin @ 1 liter a.i/ha can be applied as pre-emergence spray to control weeds.,Farmer needs information regarding control of weeds in bengal gram crop?
341,"Treat seed with sowing before sowing, carbacin 75% for seed treatment, wp / carbon diazim 50% wp is sufficient for 2.5-3.0 gm drug / kg seed.",farmer want to know about informatin whaet ?
342,Recommended for Use bavastim or vita vex power 2-2.50 gm per kg of seed.,Farmer need information regarding Seed treatment in wheat crop?
343,Recommended for seed treatment of gram treat the seed with tricoderma viridi 5gm/kg of seed or thiram 3gm/kg of seed,farmer wants to know information about seed treatment of gram?
344,"Nitrogen (N) @ 80-120kg/ha

Phosphorus (P2O5) @40-60kg/ha

Potash (K2O) @ 40 kg/ha 25 kg of zinc sulphate/ha is recommended for soil where there is a deficiency of Zinc.",Farmer needs information regarding fertilizer dose for wheat crop?
345,"fertilizer dose for wheat - urea - 87 kg , ssp - 125 kg mop - 0.0",Farmer want to know information about Fertilizer doses in wheat ?
346,Recommended for seed treatment of gram treat the seed with tricoderma viridi 5gm/kg of seed or thiram 3gm/kg of seed,Farmer needs information regarding seed treatment of gram?
347,Spray diAmethoate 30 EC 500 ml/ha ór 30 ml per pump,Farmer needs information regarding how to control sucking pest in      crop?
348,"Before applying potato , dip the dough into the dithan M-45 (2-2.5 g) or carbendazim (1-1.5 g) per liter water and dip the tubers for 10 minutes.",Farmer wants to know information about seed treatment of potato ? ?
349,"J.W. 3288,
J.W. 3211,
J.W. 17,
H.I. 1500,
H.I. 153",farmer want to information regarding  verity wheat crop
350,"1. To protect crop from boiling and root rot, treat 2g of thyme by 1 gm of carbendazim, per kg of seeds. Or
2. Beta wax treated with 2 grams / kg",farmer want to information regarding seed  treatment Bengal Gram crop?
351,"Treat the seeds per kg with a mixture of 2 gram thiram 1 gm carbendazim to protect crop from urine and root rot. Or treat thiram with 2 grams / kg. Treat thymothoxam 70 WP 3 gms / forts at the rate of seed
",farmer wants information about seed treatment in bengal gram crop?
352,"recommended for ferti. schule for orange FYM 15.000, urea-400gm,ssp-200gm,mop-150gm/hac
","
farmer want to know information about ferti. schule for orange?
"
353,Minimum Support Price of dear farmer brother Soyabean is 3399 RS Quantel.,farmer want to know about MINIMUM SUPPORT PRICE IN SOYBEAN ?
354,"Irrigated within time - Lok-1, MP 1142, HI 1077 (Mangala), DL803-3 (kanchan), GW 190, GW 273, GW 322, GW 366, HI 8381 (Malavshree), HI 8498 (Malav shakti).",farmer want to know information about varieties of Wheat crop?
355,"Information provided by the KCC was :

no rainfall on the next 4 days and on 23/10/18 will be little rainfall of 1.3 millimetre .",Farmer wants to know about the wheather information regarding rainfall in his area .
